,cbg,before,after,instrument
152,060014088004,7.5,0.0,0.6875
153,060014089001,4.0,4.0,0.0
154,060014089002,21.0,8.0,0.39166666666666666
155,060014090001,9.0,0.0,0.0
156,060014090003,9.5,8.0,0.0
157,060014091001,4.0,4.0,0.0
158,060014091002,3.0,0.0,0.0
159,060014092001,8.0,4.0,0.5
160,060014092002,4.0,4.0,0.0
161,060014093001,6.0,4.0,0.0
162,060014093003,4.0,4.0,0.0
163,060014094002,17.5,8.0,0.0
164,060014094003,9.5,9.0,0.4273504273504274
165,060014095001,12.0,0.0,0.0
166,060014095002,4.0,0.0,0.0
167,060014095003,1.5,0.0,0.0
168,060014096001,7.5,6.0,0.0
169,060014096003,3.5,0.0,0.0
170,060014096004,4.5,4.0,0.0
171,060014096005,8.0,8.0,0.5
172,060014097002,10.0,4.0,0.41666666666666663
173,060014097004,10.0,0.0,0.53125
174,060014098001,8.0,4.0,0.5
175,060014098002,8.0,8.0,0.5
176,060014099001,2.5,0.0,0.0
177,060014099002,4.0,4.0,0.0
178,060014099003,8.0,4.0,0.5
179,060014101001,4.0,4.0,1.0
180,060014101002,12.0,4.0,0.3333333333333333
181,060014102001,16.5,0.0,0.37857142857142856
182,060014102002,2.0,0.0,0.0
183,060014102003,8.0,8.0,0.0
184,060014103001,4.0,0.0,0.0
185,060014103002,4.0,0.0,1.0
186,060014103003,8.0,4.0,0.0
187,060014104001,4.0,0.0,0.0
188,060014104002,18.0,12.0,0.0
189,060014104003,10.0,10.0,0.6
190,060014105001,6.0,6.0,0.0
191,060014201001,8.0,8.0,0.0
192,060014201002,2.5,0.0,0.0
193,060014202001,2.5,0.0,0.0
194,060014202003,4.0,4.0,1.0
195,060014203003,8.0,4.0,0.0
196,060014205001,4.0,0.0,0.0
197,060014205002,6.5,0.0,0.0
198,060014206001,4.0,4.0,1.0
199,060014206003,4.0,0.0,0.0
200,060014211001,4.0,0.0,1.0
201,060014212004,4.0,0.0,0.0
202,060014213003,4.0,0.0,1.0
203,060014215003,4.0,0.0,0.0
204,060014216002,2.5,0.0,0.0
205,060014220001,3.5,0.0,0.0
206,060014221002,4.0,0.0,1.0
207,060014223001,2.5,0.0,0.0
208,060014224001,4.0,0.0,0.0
209,060014225003,5.0,0.0,0.0
210,060014226001,8.0,4.0,0.5
211,060014227002,6.0,0.0,0.75
212,060014228001,6.0,0.0,0.75
213,060014228003,17.0,4.0,0.7125
214,060014229001,4.0,0.0,0.0
215,060014229002,12.0,4.0,0.3333333333333333
216,060014230003,0.5,0.0,0.0
217,060014231004,1.5,0.0,0.0
218,060014233001,7.0,0.0,0.0
219,060014233002,4.0,4.0,1.0
220,060014234003,4.0,0.0,0.0
221,060014234004,10.5,4.0,0.3958333333333333
222,060014235003,7.375,0.0,0.0
223,060014236011,2.0,0.0,0.0
224,060014236022,11.0,7.0,0.6363636363636364
225,060014236023,8.0,4.0,0.0
226,060014237001,4.0,4.0,1.0
227,060014238003,4.0,0.0,1.0
228,060014239011,2.0,0.0,0.0
229,060014239012,3.5,0.0,1.0
230,060014239021,4.0,0.0,1.0
231,060014240011,4.0,0.0,0.0
232,060014240013,4.0,4.0,1.0
233,060014240021,4.0,0.0,0.0
234,060014251011,4.0,4.0,1.0
235,060014251031,4.0,0.0,1.0
236,060014251033,4.0,0.0,0.0
237,060014251041,4.0,4.0,1.0
238,060014261005,2.0,0.0,0.0
239,060014271001,2.5,0.0,0.0
240,060014272002,20.375,8.0,0.19791666666666666
241,060014272004,2.5,0.0,0.0
242,060014273001,4.0,0.0,0.0
243,060014273002,4.0,0.0,1.0
244,060014273005,4.0,0.0,0.0
245,060014276001,5.0,4.0,0.0
246,060014276002,4.0,0.0,1.0
247,060014277001,4.0,0.0,0.0
248,060014277002,4.0,0.0,0.0
249,060014277003,4.0,0.0,0.0
250,060014277004,6.5,0.0,0.0
251,060014278003,9.5,0.0,0.0
252,060014278005,4.0,0.0,0.0
253,060014279001,4.0,0.0,1.0
254,060014279003,8.0,4.0,0.0
255,060014279004,3.0,0.0,0.0
256,060014280001,4.0,4.0,1.0
257,060014280002,7.0,0.0,0.6666666666666666
258,060014281001,4.0,0.0,0.0
259,060014281002,2.5,0.0,0.0
260,060014281003,12.0,0.0,0.4285714285714286
261,060014282001,4.0,0.0,1.0
262,060014282003,4.0,0.0,1.0
263,060014282004,17.0,13.0,0.29411764705882354
264,060014282005,4.0,0.0,0.0
265,060014283011,15.0,0.0,0.6108597285067874
266,060014283013,8.0,0.0,1.0
267,060014283014,4.5,0.0,0.0
268,060014283021,5.0,0.0,0.0
269,060014283022,6.0,0.0,1.0
270,060014283023,12.0,0.0,0.6666666666666666
271,060014284001,4.0,4.0,0.0
272,060014284002,4.0,0.0,1.0
273,060014284003,0.5,0.0,0.0
274,060014285001,7.0,0.0,0.0
275,060014286001,4.0,0.0,0.0
276,060014286003,8.0,0.0,1.0
277,060014287001,13.0,0.0,0.6923076923076924
278,060014287002,4.0,4.0,0.0
279,060014301011,12.0,0.0,0.3333333333333333
280,060014301012,4.0,0.0,1.0
281,060014301013,7.0,6.0,0.0
282,060014301021,19.75,0.0,0.48339160839160844
283,060014302001,4.5,0.0,0.9375
284,060014302002,3.5,0.0,0.0
285,060014302003,2.5,0.0,0.0
286,060014303001,8.5,4.0,0.47916666666666663
287,060014303002,8.0,4.0,0.5
288,060014305001,4.0,0.0,0.0
289,060014305002,8.0,8.0,0.0
290,060014305003,8.0,0.0,0.0
291,060014306003,12.5,0.0,0.35416666666666663
292,060014306004,0.5,0.0,0.0
293,060014307002,8.0,4.0,0.0
294,060014307003,15.0,4.0,0.46666666666666673
295,060014308001,2.5,0.0,0.0
296,060014308002,16.0,12.0,0.25
297,060014308003,7.5,4.0,0.0
298,060014308004,20.0,8.0,0.20357420357420358
299,060014309001,17.0,9.0,0.23529411764705885
300,060014309002,7.5,0.0,0.0
301,060014310001,8.0,4.0,0.0
302,060014310002,4.0,0.0,0.0
303,060014311001,8.5,5.0,0.0
304,060014311002,15.5,8.0,0.0
305,060014312001,1.5,0.0,0.0
306,060014312002,12.5,4.0,0.0
307,060014312003,4.0,4.0,0.0
308,060014321001,8.0,4.0,0.0
309,060014321003,4.0,4.0,0.0
310,060014322001,10.0,8.0,0.0
311,060014322002,1.0,0.0,0.0
312,060014323003,17.5,4.0,0.5168067226890756
313,060014324001,3.5,0.0,0.0
314,060014324002,8.0,0.0,0.5
315,060014324003,4.0,0.0,1.0
316,060014325011,12.0,0.0,0.6666666666666666
317,060014325013,8.0,4.0,0.0
318,060014325021,5.0,0.0,0.0
319,060014325023,4.0,4.0,1.0
320,060014326001,11.0,4.0,0.0
321,060014326002,3.0,0.0,0.0
322,060014326003,4.5,4.0,0.0
323,060014326004,16.5,8.0,0.5
324,060014326005,4.0,4.0,0.0
325,060014328003,4.0,0.0,0.0
326,060014330001,1.0,0.0,0.0
327,060014331021,1.5,0.0,0.0
328,060014331022,8.0,4.0,0.5
329,060014331032,12.0,8.0,0.0
330,060014331041,8.5,4.0,0.5208333333333333
331,060014331042,4.0,0.0,0.0
332,060014331043,12.0,12.0,0.3333333333333333
333,060014332001,4.5,0.0,0.0
334,060014332002,4.0,0.0,0.0
335,060014332003,2.5,0.0,0.0
336,060014332004,3.5,0.0,0.0
337,060014333001,8.0,4.0,0.0
338,060014333003,6.0,4.0,0.0
339,060014333004,4.0,4.0,0.0
340,060014333005,8.0,8.0,0.5
341,060014334001,4.0,0.0,1.0
342,060014334002,7.0,0.0,1.0
343,060014334003,4.0,0.0,1.0
344,060014334004,10.0,0.0,0.6
345,060014334006,8.0,4.0,1.0
346,060014335001,4.0,4.0,1.0
347,060014335002,5.0,5.0,0.0
348,060014335003,4.0,0.0,1.0
349,060014335004,4.0,4.0,0.0
350,060014336002,12.0,8.0,0.0
351,060014336003,13.0,10.0,0.7857142857142857
352,060014336004,8.0,4.0,0.0
353,060014337001,4.0,0.0,0.0
354,060014337003,1.0,0.0,0.0
355,060014338003,4.0,4.0,0.0
356,060014338004,7.0,0.0,0.0
357,060014339001,20.0,4.0,0.39999999999999997
