,cbg,before,after,instrument
702,060750167004,4.0,4.0,0.0
703,060750168021,8.0,4.0,0.0
704,060750168023,1.0,0.0,0.0
705,060750170001,4.0,0.0,0.0
706,060750170002,0.5,0.0,0.0
707,060750176011,5.0,5.0,1.0
708,060750176012,11.0,4.0,0.0
709,060750176013,10.5,4.0,0.3958333333333333
710,060750176015,2.5,0.0,0.0
711,060750178012,4.0,4.0,1.0
712,060750178021,4.0,0.0,0.0
713,060750180001,4.0,0.0,1.0
714,060750201004,7.5,4.0,0.5625
715,060750202001,10.0,4.0,0.41666666666666663
716,060750202003,4.0,0.0,0.0
717,060750203001,11.0,4.0,0.0
718,060750203003,4.0,0.0,0.0
719,060750204013,4.0,0.0,0.0
720,060750205001,4.0,0.0,0.0
721,060750205002,4.0,0.0,0.0
722,060750208002,0.5,0.0,0.0
723,060750209001,4.0,4.0,1.0
724,060750214003,0.5,0.0,0.0
725,060750215002,2.5,0.0,0.0
726,060750215005,4.0,4.0,1.0
727,060750217003,4.0,0.0,0.0
728,060750226001,5.0,5.0,1.0
729,060750226002,1.5,0.0,0.0
730,060750228011,5.0,0.0,0.0
731,060750228013,8.0,0.0,0.5
732,060750228021,10.5,4.0,0.40384615384615385
733,060750228022,3.0,0.0,0.0
734,060750229012,12.0,0.0,0.0
735,060750229013,8.0,0.0,0.0
736,060750229031,4.0,4.0,0.0
737,060750230011,7.0,0.0,0.0
738,060750230012,11.0,8.0,0.375
739,060750230031,13.5,10.0,0.75
740,060750231021,8.0,4.0,0.0
741,060750231022,4.0,4.0,1.0
742,060750231031,4.0,0.0,1.0
743,060750231032,20.0,12.0,0.0
744,060750232002,36.0,28.0,0.0
745,060750232003,8.375,4.0,0.0
746,060750233001,3.5,0.0,0.0
747,060750234001,8.0,4.0,0.5
748,060750234002,8.0,0.0,0.0
749,060750253004,4.0,0.0,0.0
750,060750254013,9.0,0.0,1.0
751,060750254023,4.0,4.0,1.0
752,060750254032,8.0,4.0,1.0
753,060750255002,2.0,0.0,0.0
754,060750255003,4.0,0.0,1.0
755,060750256002,4.0,0.0,0.0
756,060750256003,3.75,0.0,0.0
757,060750257011,4.0,0.0,1.0
758,060750257012,22.5,4.0,0.5375
759,060750257021,4.0,4.0,0.0
760,060750257022,5.5,4.0,0.8541666666666666
761,060750257023,8.0,4.0,0.0
762,060750258001,5.0,5.0,0.0
763,060750259002,8.0,4.0,0.5
764,060750260012,11.0,0.0,0.6363636363636364
765,060750260021,8.0,0.0,0.5
766,060750260022,0.5,0.0,0.0
767,060750260031,8.0,0.0,1.0
768,060750260032,8.0,8.0,1.0
769,060750260041,8.0,4.0,0.5
770,060750260042,4.0,4.0,1.0
771,060750261002,3.0,0.0,0.0
772,060750261003,8.0,0.0,0.0
773,060750261004,4.0,0.0,0.0
774,060750262001,4.0,4.0,1.0
775,060750262002,8.0,0.0,0.625
776,060750262004,14.0,4.0,0.5833333333333333
777,060750262005,4.0,4.0,1.0
778,060750263011,10.0,0.0,0.0
779,060750263012,4.0,0.0,0.0
780,060750263023,4.5,4.0,0.9375
781,060750263031,4.0,4.0,1.0
782,060750263032,3.0,0.0,0.0
783,060750264011,2.5,0.0,0.0
784,060750264012,11.5,4.0,0.35416666666666663
785,060750264021,8.0,8.0,0.5
786,060750264022,8.0,4.0,0.5
787,060750264031,14.0,10.0,0.7142857142857143
788,060750264032,4.0,4.0,1.0
789,060750264041,4.0,4.0,1.0
790,060750301021,8.0,4.0,1.0
791,060750301022,11.0,4.0,0.375
792,060750302013,4.0,4.0,0.0
793,060750302023,4.0,0.0,0.0
794,060750303012,4.0,0.0,0.0
795,060750303023,5.5,4.0,0.8125
796,060750304001,1.0,0.0,0.0
797,060750304002,8.0,4.0,0.5
798,060750304004,4.0,4.0,0.0
799,060750306002,8.0,0.0,0.5
800,060750307003,8.0,4.0,0.5
801,060750308001,9.0,8.0,0.9166666666666666
802,060750308004,8.5,8.0,0.47916666666666663
803,060750308005,4.0,0.0,1.0
804,060750309002,8.0,4.0,0.5
805,060750309003,4.0,4.0,1.0
806,060750309007,4.5,0.0,0.0
807,060750310003,3.0,0.0,0.0
808,060750311004,4.0,4.0,1.0
809,060750312011,4.0,0.0,1.0
810,060750312021,4.0,4.0,1.0
811,060750313011,8.0,8.0,0.0
812,060750313021,4.0,4.0,0.0
813,060750313023,8.0,0.0,0.5
814,060750314001,5.0,0.0,1.0
815,060750314002,4.0,4.0,0.0
816,060750314003,2.5,0.0,0.0
817,060750314004,4.0,0.0,1.0
818,060750314005,4.0,0.0,0.0
819,060750326011,4.0,4.0,1.0
820,060750326012,4.0,4.0,1.0
821,060750326013,11.5,4.0,0.75
822,060750326021,4.0,0.0,1.0
823,060750326022,4.0,4.0,1.0
824,060750326023,12.0,12.0,1.0
825,060750327001,1.5,0.0,0.0
826,060750327005,0.5,0.0,0.0
827,060750327006,8.0,4.0,1.0
828,060750328011,4.0,4.0,0.0
829,060750328012,4.0,0.0,1.0
830,060750328022,20.0,10.0,0.5122655122655122
831,060750328023,4.0,0.0,0.0
832,060750329012,4.0,0.0,0.0
833,060750329014,4.0,0.0,0.0
834,060750329023,4.0,4.0,1.0
835,060750330001,4.0,4.0,0.0
836,060750330002,10.5,4.0,0.0
837,060750330003,8.0,4.0,0.0
838,060750330004,4.0,0.0,0.0
839,060750330006,1.5,0.0,0.0
840,060750331003,4.0,0.0,1.0
841,060750331004,4.0,0.0,0.0
842,060750332011,4.0,4.0,1.0
843,060750332031,6.0,0.0,0.0
844,060750332042,4.0,4.0,1.0
845,060750351001,4.0,0.0,0.0
846,060750351005,4.0,0.0,0.0
847,060750351006,4.0,0.0,0.0
848,060750351007,4.0,0.0,0.0
849,060750352011,13.0,8.0,0.32291666666666663
850,060750352012,4.0,0.0,0.0
851,060750352013,4.0,0.0,0.0
852,060750352014,4.0,0.0,1.0
853,060750352015,1.5,0.0,0.0
854,060750352021,4.0,4.0,1.0
855,060750353002,4.0,0.0,0.0
856,060750353005,4.0,0.0,0.0
857,060750353006,8.0,0.0,1.0
858,060750354001,4.0,0.0,0.0
859,060750354002,13.0,4.0,0.6153846153846154
860,060750354003,8.0,8.0,1.0
861,060750402002,6.0,6.0,0.0
862,060750426011,6.0,4.0,0.0
863,060750426012,5.5,0.0,0.8125
864,060750426021,1.5,0.0,0.0
865,060750426022,1.5,0.0,0.0
866,060750426023,10.0,4.0,0.8333333333333333
867,060750427001,4.0,4.0,0.0
868,060750427002,5.5,4.0,0.8125
869,060750451001,3.5,0.0,0.0
870,060750451002,4.0,4.0,1.0
871,060750452001,5.0,5.0,1.0
872,060750452003,8.5,4.0,0.0
873,060750452004,8.0,8.0,0.5
874,060750476003,6.0,0.0,0.0
875,060750476004,9.0,4.0,0.44444444444444453
876,060750477012,4.0,4.0,1.0
877,060750477013,9.0,4.0,0.0
878,060750477021,6.0,0.0,0.0
879,060750477022,4.0,4.0,1.0
880,060750478011,5.0,4.0,0.0
881,060750478012,7.0,0.0,0.625
882,060750478013,4.0,0.0,0.0
883,060750478021,4.0,0.0,0.0
884,060750479012,1.0,0.0,0.0
885,060750479013,4.0,0.0,0.0
886,060750479021,8.0,0.0,1.0
887,060750479023,3.125,0.0,0.0
888,060750601001,16.5,8.0,0.5
889,060750604001,12.0,12.0,0.6666666666666666
890,060750605022,4.625,4.0,0.9305555555555556
891,060750605023,0.5,0.0,0.0
892,060750607001,16.75,8.0,0.539044289044289
893,060750610001,2.5,0.0,0.0
894,060750610002,18.5,13.0,0.7100840336134453
895,060750612001,21.0,12.0,0.0
896,060750612002,14.0,0.0,0.3020833333333333
897,060750614001,4.5,0.0,0.0
898,060750614002,4.0,4.0,0.0
899,060750614003,4.0,4.0,0.0
900,060750615001,5.5,0.0,0.8125
901,060750615003,4.0,4.0,0.0
902,060759806001,13.0,4.0,0.3076923076923077
903,060759809001,5.5,0.0,0.0
