,before,after,instrument
159,11.0,4.0,0.0
160,20.5,4.0,0.3916666666666666
161,19.625,4.0,0.0
162,52.0,8.0,0.5532451923076923
163,15.5,13.0,0.5904977375565611
164,9.0,0.0,0.0
165,22.5,8.0,0.546875
166,7.0,0.0,0.625
167,43.0,16.0,0.47190217007139323
168,42.0,30.0,0.6218807889288438
169,18.5,4.0,0.22291666666666665
170,22.5,9.0,0.1808403361344538
171,16.0,4.0,0.25
172,23.5,9.0,0.2932212885154062
173,9.5,4.0,0.4375
174,33.5,20.0,0.5989583333333334
175,53.0,24.0,0.22835915375645513
176,35.0,16.0,0.45833333333333337
177,71.0,55.0,0.47887323943661964
178,8.0,0.0,0.5
179,10.0,9.0,0.5128205128205128
180,18.0,4.0,0.2245614035087719
181,40.0,20.0,0.39999999999999997
182,43.0,20.0,0.5613636363636364
183,26.0,4.0,0.46376811594202905
184,18.5,0.0,0.44166666666666665
185,8.5,4.0,0.5208333333333333
186,37.375,17.0,0.3505466903073286
187,20.0,11.0,0.3025210084033613
188,71.0,46.0,0.4514217644173499
189,13.5,4.0,0.6458333333333333
190,11.5,7.0,0.35151515151515156
191,12.0,4.0,0.0
192,41.5,16.0,0.32231362970800637
193,89.5,49.0,0.31314626087765834
194,12.0,4.0,0.6666666666666666
195,13.5,8.0,0.0
196,4.0,0.0,1.0
197,17.0,4.0,0.3
198,139.5,8.0,0.6866597088403236
199,110.5,20.0,0.7694649671186164
200,6.0,0.0,0.84375
201,5.0,4.0,0.9166666666666666
202,18.75,4.0,0.46249999999999997
203,41.5,16.0,0.41002710027100264
204,43.5,12.0,0.578948714015442
205,35.5,8.0,0.7063882063882064
206,34.0,0.0,0.5308755760368663
207,22.0,10.0,0.2727272727272727
208,29.0,0.0,0.3190848214285714
209,18.5,8.0,0.22708333333333333
210,5.0,0.0,1.0
211,12.0,8.0,0.3333333333333333
212,37.0,8.0,0.7837837837837838
213,24.0,12.0,0.51875
214,9.5,0.0,0.4375
215,33.5,13.0,0.4782964782964783
216,22.0,4.0,0.6594202898550724
217,12.0,0.0,0.6666666666666666
218,20.0,4.0,0.39999999999999997
219,41.5,22.0,0.38596491228070173
220,52.5,16.0,0.477186902566389
221,35.0,12.0,0.8857142857142859
222,29.5,16.0,0.4084821428571428
223,29.0,17.0,0.1724137931034483
224,20.0,12.0,0.39999999999999997
225,30.0,8.0,0.30135746606334846
226,36.0,8.0,0.3333333333333333
227,25.0,25.0,0.0
228,22.5,0.0,0.18652757654786054
229,38.5,4.0,0.41734417344173447
230,16.0,0.0,0.75
231,11.0,0.0,0.375
232,9.0,4.0,0.5555555555555555
233,4.0,4.0,1.0
234,8.0,0.0,0.5
235,88.0,28.0,0.7313824744332299
236,18.0,10.0,0.3333333333333333
237,111.5,42.0,0.7002302067346754
238,101.5,34.0,0.681594196285988
239,46.0,8.0,0.6761164634087182
240,40.0,4.0,0.7999999999999999
241,21.0,8.0,0.8095238095238094
242,33.5,0.0,0.6178075396825397
243,103.5,28.0,0.4656477942347508
244,30.0,16.0,0.5376984126984126
245,38.5,8.0,0.3901098901098901
246,6.0,0.0,0.0
247,8.0,8.0,0.5
248,3.0,0.0,0.0
249,5.5,4.0,0.8125
250,6.5,0.0,0.0
251,3.0,0.0,0.0
252,22.0,14.0,0.8181818181818182
253,4.25,0.0,0.9199999999999999
254,19.0,12.0,0.21458333333333332
255,4.0,4.0,1.0
256,4.0,4.0,0.0
257,2.5,0.0,0.0
258,8.0,4.0,1.0
259,8.0,8.0,1.0
260,4.0,4.0,0.0
261,18.5,8.0,0.65625
262,12.0,0.0,0.0
263,4.0,4.0,1.0
264,6.0,4.0,0.75
265,3.875,0.0,0.0
266,2.5,0.0,1.0
267,4.0,4.0,0.0
268,9.0,4.0,0.0
269,4.5,0.0,0.0
270,29.0,13.0,0.31640625
271,8.0,4.0,0.5
272,4.0,0.0,1.0
273,7.5,4.0,0.5625
274,14.0,4.0,0.29166666666666663
275,15.0,4.0,0.0
276,4.0,0.0,0.0
277,8.0,0.0,0.0
278,0.5,0.0,0.0
279,4.0,4.0,1.0
280,0.5,0.0,0.0
281,6.5,4.0,0.6875
