,safegraph_place_id,location_name,latitude,longitude,city,region,postal_code,stateFIPS,countyFIPS,countyName,poi_cbg,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,base,size
11480,sg:f890bc0205b3485f81db76e47cfcae61,Mt Pilgrim Metropolitan Baptist Church,37.768684,-122.206542,Oakland,CA,94601,06,06001,Alameda County,060014074001,13.0,14.0,5.0,11.0,7.0,11.0,1.0,9.5,0.0
11481,sg:f898857cb199419ebe6db7bea4923cca,La Voz Sylmar SDA Church,34.313426,-118.428054,Sylmar,CA,91342,06,06037,Los Angeles County,060371061131,17.0,12.0,7.0,18.0,7.0,8.0,2.0,9.5,0.0
11482,sg:f89a4ede015b4841a43dbe732305b316,Pipeline Avenue Baptist Church,34.043984,-117.716876,Chino Hills,CA,91709,06,06071,San Bernardino County,060710004033,20.0,25.0,29.0,20.0,13.0,98.0,128.0,27.0,2.0
11483,sg:f8a7f8ec034a4a1d9da8c464e0da1b8e,Santa Clara de Asis Catholic Church,33.880323,-117.746927,Yorba Linda,CA,92887,06,06059,Orange County,060590218252,261.0,279.0,228.0,132.0,30.0,33.0,60.0,253.5,5.0
11484,sg:f8b1d101621a4ecf9bfd7982da6294c2,Iglesia Ni Cristo,37.668424,-122.477503,Daly City,CA,94015,06,06081,San Mateo County,060816015021,41.0,47.0,87.0,54.0,12.0,16.0,13.0,67.0,4.0
11485,sg:f8b36582ac0e40e8a67e7d8ac06a2765,Santa Monica Pentecostal Church,34.009359,-118.47734799999999,Santa Monica,CA,90405,06,06037,Los Angeles County,060377022015,27.0,23.0,21.0,12.0,12.0,9.0,19.0,22.0,2.0
11486,sg:f8b3cf8328aa435cad5f3ea655dfcc9f,Zion Church In Jesus Christ,38.635548,-121.44830300000001,Sacramento,CA,95838,06,06067,Sacramento County,060670067022,26.0,37.0,31.0,24.0,29.0,22.0,23.0,34.0,3.0
11487,sg:f8b59dcd3102417eb911a69b4058843c,Community Presbyterian Church of Cathedral City,33.771885,-116.464196,Cathedral City,CA,92234,06,06065,Riverside County,060650450002,19.0,19.0,10.0,10.0,11.0,9.0,9.0,14.5,1.0
11488,sg:f8b82616f3ed4ed8b2c30f9dfda8687b,Iglesia Adventista De Lincoln Heights,34.082018,-118.214344,Los Angeles,CA,90031,06,06037,Los Angeles County,060371990002,53.0,54.0,37.0,31.0,22.0,18.0,17.0,45.5,3.0
11489,sg:f8c5b72dac90496dba21655d7b231433,Ocean of Compassion Buddhist Center,37.287006,-121.977465,Campbell,CA,95008,06,06085,Santa Clara County,060855066012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11490,sg:f8ccbc573fd6493bb8f6a5b4c570a05e,Our Lady of Mount Carmel Church Rancho Penasquitos,32.964139,-117.10278999999998,San Diego,CA,92129,06,06073,San Diego County,060730170351,425.0,417.0,379.0,243.0,41.0,54.0,164.0,398.0,5.0
11491,sg:f8cff6e16b184f39af2ca26274348dbb,Sacred Heart Parish Hall,34.070423999999996,-118.21208999999999,Los Angeles,CA,90001,06,06037,Los Angeles County,060371998004,112.0,81.0,61.0,42.0,15.0,13.0,23.0,71.0,4.0
11492,sg:f8d1ee85214d400db2464382c4e3513a,Shepherd In the Pines Lutheran Church,34.26464,-116.876725,Big Bear Lake,CA,92315,06,06071,San Bernardino County,060710113002,31.0,13.0,19.0,8.0,5.0,5.0,15.0,16.0,1.0
11493,sg:f8db5e4425fb4110b4dfe9e07ecc2d2a,YA Young Adults at The City Church,33.015785,-117.101964,San Diego,CA,92127,06,06073,San Diego County,060730170321,6.0,6.0,5.0,4.0,1.0,3.0,3.0,5.5,0.0
11494,sg:f8e262ca79b14d1fa4c8e4b81ffe7a2b,Christian Science Reading Room,34.144396,-118.13895900000001,Pasadena,CA,91101,06,06037,Los Angeles County,060374636011,12.0,24.0,18.0,22.0,3.0,6.0,8.0,21.0,2.0
11495,sg:f8e38fec8a524645a21c436ce320a2b7,Apostolic Church of Orange,33.784966,-117.80646599999999,Orange,CA,92869,06,06059,Orange County,060590219134,86.0,79.0,64.0,37.0,40.0,32.0,34.0,71.5,4.0
11496,sg:f8e3e04f34be478c9cf4e91540e861d2,Holy Land Church Of God In Christ,34.118076,-117.29915700000001,San Bernardino,CA,92410,06,06071,San Bernardino County,060710056003,161.0,152.0,104.0,130.0,78.0,84.0,81.0,128.0,5.0
11497,sg:f8e92d03d7d34a43bc6ac2bbe67fb477,Hillside Church of Marin,37.919019,-122.5009,Corte Madera,CA,94925,06,06041,Marin County,060411212004,39.0,34.0,28.0,22.0,3.0,2.0,0.0,31.0,3.0
11498,sg:f8fb30d3d5c74e11b05e0d643af2e9a2,Xaris Church,34.086728,-117.942159,West Covina,CA,91790,06,06037,Los Angeles County,060374053011,66.0,73.0,72.0,58.0,32.0,39.0,37.0,72.5,4.0
11499,sg:f8fd9399cde24d8ba47e6498247d4986,Iglesia Cantico Nuevo,33.993196999999995,-118.25424199999999,Los Angeles,CA,90011,06,06037,Los Angeles County,060372291001,51.0,47.0,34.0,26.0,20.0,18.0,28.0,40.5,3.0
11500,sg:f9011d7e7d3c43fea1bd51b4ce75c6f3,Central Congregational Church,32.764927,-117.01724899999999,La Mesa,CA,91941,06,06073,San Diego County,060730149021,11.0,11.0,7.0,10.0,2.0,3.0,3.0,9.0,0.0
11501,sg:f907476a0e5b4fdf94682385fd72f791,Pioneer Baptist Church,38.696523,-121.28570800000001,Citrus Heights,CA,95610,06,06067,Sacramento County,060670081401,52.0,48.0,33.0,36.0,14.0,28.0,28.0,40.5,3.0
11502,sg:f90b4bc641074cc98f7fc11acf5fc27e,Greater Hill Zion Missionary Baptist Church,38.52744600000001,-121.457718,Sacramento,CA,95820,06,06067,Sacramento County,060670044022,26.0,30.0,39.0,27.0,25.0,22.0,21.0,34.5,3.0
11503,sg:f9104353bd8148b386b1062760676583,Yucca Valley Church of the Nazarene,34.127756,-116.43682700000001,Yucca Valley,CA,92284,06,06071,San Bernardino County,060710104113,4.0,5.0,9.0,6.0,6.0,6.0,4.0,7.0,0.0
11504,sg:f912deada08b4d19a476bd21ba17d9d9,St Joseph Basilica,37.766393,-122.254524,Alameda,CA,94501,06,06001,Alameda County,060014279002,29.0,20.0,25.0,7.0,0.0,1.0,3.0,22.5,2.0
11505,sg:f918d7e8bf3b41a296da89d5d6d97db1,The Church of Jesus Christ of Latter day Saints,36.355613,-119.655813,Hanford,CA,93230,06,06031,Kings County,060310006011,84.0,62.0,65.0,41.0,25.0,20.0,27.0,63.5,4.0
11506,sg:f9206ef3c2ab4c85a913c3acc963e571,Ocean Pacific Church,35.318504,-120.831538,Los Osos,CA,93402,06,06079,San Luis Obispo County,060790107031,26.0,33.0,27.0,21.0,10.0,16.0,18.0,30.0,3.0
