,safegraph_place_id
325,sg:0565b654ee034906a71fb82d91a52899
326,sg:0566aa9f3964447a9905b4fdb0f82127
328,sg:057a850abfbe47f99886f56aedbe178e
329,sg:05881f5d8bfa452eb5eb1b916044c252
331,sg:058b734325f14811b7faf000c43f4634
332,sg:058e3517e6b64cb6a8f62ff6cc94208e
333,sg:058f6695c20f441ea4c2ae0ad8fd8ab0
334,sg:059afbc46ffc43bba67f4d1110fcd7ef
335,sg:059b0a7b07494130b607bc6f2ef961b5
336,sg:059bcb153fd844aab0af4ac300a028b0
337,sg:059eaa2a1cc74cf6b54e5594df7a2875
338,sg:05a5cb1f80ac4b628a1b061c4ad345ea
339,sg:05a6067f42054a99a37fcf80db44e54e
340,sg:05a63c85b56a4d4a811b8f22f51769b7
342,sg:05aaeba75d094015bfb9ebb000249efa
343,sg:05af36e281214a779268bc854ffa2349
344,sg:05b0c70490c940cf9367ac18d83e25d2
347,sg:05b34ce2202d48acbf1813c586623ec7
349,sg:05b755ae67b14106b8c9371b0b9ed9fe
351,sg:05beac325ef2433ab9d43d4cda2acf65
352,sg:05c2255236044535a9fb7603470001b6
353,sg:05c308e766994e94896434a443687d9f
355,sg:05c877a6f5754e198f49e8f93d9b95ec
357,sg:05ca860aa3b64f2891a11bd05cfdfc44
358,sg:05cfb8dc8ff34adb9e5e6b202628cfc1
359,sg:05d0afe75cfc461bb3c1b31fccadad4a
361,sg:05d6fe7276c44062aac550b0d66efd9b
362,sg:05dc52beeb8946f1946421c845d646c1
363,sg:05dc845607504c4c9b50e130433e83b6
365,sg:05e02145859247b6bef4ab2a8efd5f72
366,sg:05e5fc0af4a649c49c82cd18f9cc4a52
368,sg:05ee256fefa84389a74f5d27e3e7dc7d
369,sg:05f240295007456dbb2fb9bf12428b77
372,sg:05f9a259b8844799ba4ca1cd71df7aaa
373,sg:05fa9cb7f0e1427a99d9eacc9b423dc1
374,sg:05fe25a62c3743fd800591ccab1ed357
377,sg:061395802d564dadbbd0517274013fd9
379,sg:061ae03cbdbb448eb2c64ed104a4bd68
380,sg:061e81b60bf24aae85f26e5f93e776a4
381,sg:062cc16df8a8474594d8a692bcfb63de
