,safegraph_place_id,location_name,latitude,longitude,city,region,postal_code,stateFIPS,countyFIPS,countyName,poi_cbg
16293,sg:c123921caf804786948e5d046b367d92,St Mark's Chinese Lutheran Church,34.018225,-117.97424699999999,Hacienda Heights,CA,91745,06,06037,Los Angeles County,060374084011
16294,sg:d0934b024b264fe58b559dfac42d7938,Harvest Christian Center,37.491686,-120.848009,Turlock,CA,95380,06,06099,Stanislaus County,060990038032
16295,sg:dd15ff6691324ac289c64d21250907fc,Mt Shasta Baptist Church,41.297261,-122.304142,Mount Shasta,CA,96067,06,06093,Siskiyou County,060930010004
16296,sg:eae7d0a7652f49e6b7784171b0ed5ddc,Grace Gathering,34.434674,-119.783258,Santa Barbara,CA,93110,06,06083,Santa Barbara County,060830030052
16297,sg:fb28750b20a24fab8a9e4d082a4acec2,La Korean United Methodist Church,33.970110999999996,-118.37808899999999,Los Angeles,CA,90045,06,06037,Los Angeles County,060372771001
16298,sg:1a7cd91d6aac4e30a67b6ec55f9a35bc,Living Grace,37.725716999999996,-120.931003,Riverbank,CA,95367,06,06099,Stanislaus County,060990003043
16299,sg:375397763533449e998fffecec25e002,Light Of Christ Lutheran Church,37.535847,-120.86178000000001,Turlock,CA,95382,06,06099,Stanislaus County,060990036061
16300,sg:37dd80766fe5497097c64fffb5b5b63b,Greater Liberty Baptist Church,33.979534,-118.309256,Los Angeles,CA,90047,06,06037,Los Angeles County,060372373002
16301,sg:51c4151795ae4040b266d6724ad7f2ec,Peninsula Sinai Congregation,37.540934,-122.27223300000001,Foster City,CA,94404,06,06081,San Mateo County,060816080232
16302,sg:5d402438ac674e28b6cedd47361c6f73,St Patrick Church,37.785593,-122.403521,San Francisco,CA,94103,06,06075,San Francisco County,060750615001
16303,sg:629c62b870a94d378058caedbd115853,Korean Christian Reform Church,33.722669,-117.969654,Fountain Valley,CA,92708,06,06059,Orange County,060590992242
16304,sg:67ff306e650d48f99768a8adfac93764,Family Bible Church,35.647748,-117.687827,Ridgecrest,CA,93555,06,06029,Kern County,060290054012
16305,sg:8d084a5851264a13adb56235116034be,Fellowship Christian Church,34.434546000000005,-118.52984199999999,Santa Clarita,CA,91350,06,06037,Los Angeles County,060379200172
16306,sg:a0bb3e7ff24540f7bb2f46fd3f092a0a,Pro Sanctity National Center,33.86817,-117.966719,Fullerton,CA,92833,06,06059,Orange County,060590019011
16307,sg:a37c40d707a9470bbc722a10cd9d08d1,Evangelical Free Church,34.192316999999996,-118.924067,Newbury Park,CA,91320,06,06111,Ventura County,061110061002
16308,sg:c1b5d426f70f411aa6d88b1082ad0da8,Trinity Church of the Nazarene,34.041647,-118.129314,Monterey Park,CA,91754,06,06037,Los Angeles County,060374827021
16309,sg:c4bce354a95f4ac3ae0a4632700b4cd1,United Church,34.061415000000004,-118.32341100000001,Los Angeles,CA,90010,06,06037,Los Angeles County,060372127021
16310,sg:ea4badbe37cf4c81bb1f0e03ad268021,Grace Reformed Church,34.676792,-118.13076299999999,Lancaster,CA,93534,06,06037,Los Angeles County,060379005012
16311,sg:ef029c607d1e4038b5f1f7363701076c,St Rose of Lima Church,32.634679,-117.07711200000001,Chula Vista,CA,91910,06,06073,San Diego County,060730128003
16312,sg:f06fcc3499494031a85a60d178ed35ea,Saint Monica's Church,37.780793,-122.48291699999999,San Francisco,CA,94121,06,06075,San Francisco County,060750426011
16313,sg:f5c3f7af3dee4f6cbd7c87a5e68ea7ee,East Bay Chinese Church,37.652653,-122.11513899999999,Hayward,CA,94545,06,06001,Alameda County,060014372001
16314,sg:0b48d56fe8f14d7daedf05ece92d0756,The Church of Jesus Christ of Latter day Saints,40.301873,-121.04596200000002,Westwood,CA,96137,06,06035,Lassen County,060350402003
16315,sg:26d86f05244948f388fc79de502f5075,San Diego Church of the Brethren,32.727621,-117.11108300000001,San Diego,CA,92105,06,06073,San Diego County,060730025021
16316,sg:30eed0641d894067b4400a5ebb07bbbd,St Andrew's United Methodist Church,38.678504,-121.33747199999999,Sacramento,CA,95841,06,06067,Sacramento County,060670075011
16317,sg:514415b419894f3fa7a6cc60d77a2919,Church of Christ,37.342556,-120.59438,Atwater,CA,95301,06,06047,Merced County,060470008021
16318,sg:54ba7776882b486fa49ab5bdb5dff4a4,St Paul Catholic Newman Center,36.816333,-119.75931299999999,Fresno,CA,93710,06,06019,Fresno County,060190054092
16319,sg:795fb85119144839abf02a1ee93c8020,St Josephs Church,37.054687,-120.85488600000001,Los Banos,CA,93635,06,06047,Merced County,060470023011
16320,sg:83b40a79c9664070bfeefad94298a333,Star of the Sea Church,37.78133,-122.46673100000001,San Francisco,CA,94118,06,06075,San Francisco County,060750402002
16321,sg:9aa7248dc4b742ab935713dae3690f1c,Cornerstone Ministries Internatl,33.84802,-117.97763300000001,Anaheim,CA,92801,06,06059,Orange County,060590868011
16322,sg:b38b7b2624ab4d9e91df25f29ee19a46,Grace Lutheran Church of Culver City,34.009861,-118.39917700000001,Culver City,CA,90230,06,06037,Los Angeles County,060377027001
16323,sg:db71e834081241618223970900229b1f,First Baptist Church,37.118829999999996,-120.26473600000001,Chowchilla,CA,93610,06,06039,Madera County,060390003002
16324,sg:e29ff09fc1f841b6b0959804481c9bea,Seventh Day Adventist Spanish Church,38.676261,-121.773522,Woodland,CA,95695,06,06113,Yolo County,061130111011
16325,sg:eba7f9e636954b5897ab684255a2f320,7th Day Adventist Church,36.606194,-118.059082,Lone Pine,CA,93545,06,06027,Inyo County,060270008003
16326,sg:fc72a6f554cc435db74d94a10eba575f,Garden Church,33.773811,-118.17768899999999,Long Beach,CA,90802,06,06037,Los Angeles County,060375765011
16327,sg:1a1ababda8b64c5782e5eabd42783497,Mission San Luis Rey Parish,33.232046000000004,-117.31768600000001,Oceanside,CA,92057,06,06073,San Diego County,060730185073
